PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
0,49.046,68.6,35.48,763,0.85,-0.12,5.46,333935.97
1,13.674,85.27,38.41,700,0.84,1.27,1.22,220279.14
0,28.819,69.22,35.34,718,0.63,0.41,2.79,311968.86
1,23.207,68.5,36.91,702,1.11,1.22,2.18,250262.52
0,26.176,66.81,33.98,749,0.37,0.17,2.5,323679.38
0,25.711,69.95,33.31,758,0.37,0.04,2.45,323259.93
0,31.051,69.73,34.38,737,0.6,0.26,3.05,312826.3
1,57.612,72,35.45,765,0.65,-0.37,6.9,352476.32
1,47.552,87.82,37.68,753,0.65,-0.35,5.24,333353.31
1,18.134,69.94,37.78,681,1.13,1.45,1.65,246951
0,45.996,65.94,33.58,756,0.59,0.07,5,336100.29
0,23.047,68.72,35.67,758,0.45,-0.02,2.16,345775.13
1,31.058,83.1,38.01,704,1.07,1,3.05,242050.05
0,48.774,66.94,35.48,737,0.86,0.31,5.42,327007.16
0,63.119,70.92,35.98,759,0.89,-0.13,7.98,357206.55
1,24.31,82.31,36.92,730,0.83,0.47,2.29,250345.11
1,16.734,71.32,38.48,675,0.89,1.64,1.51,251880.48
0,19.961,69.33,35.47,714,0.6,0.43,1.84,313817.16
1,20.363,82.01,36.05,748,0.35,0.12,1.88,263257.77
0,43.797,68.13,37.96,726,1.1,0.47,4.69,332137.92
1,16.347,70.42,36.32,701,1.08,1.2,1.48,271124.82
1,20.987,69.21,36.76,703,0.39,1.22,1.94,256914.95
1,6.7,84.39,38.24,702,0.63,1.13,0.58,230327.21
0,25.102,70.62,38.15,712,0.4,0.55,2.38,335094.37
1,11.193,88.89,38.37,706,0.9,1.14,0.98,252449.03
0,25.645,84.9,34.78,758,0.31,0,2.44,395947.99
0,38.127,71.91,34.58,766,0.4,-0.39,3.92,404779.84
1,14.739,85.57,38.45,700,0.82,1.28,1.32,221445.61
1,19.451,82.28,36.83,735,0.67,0.41,1.79,255366.99
0,63.88,71.27,35.74,760,0.84,-0.18,8.14,367466.1
1,23.356,71.36,38.95,676,1.06,1.63,2.19,255985.82
1,47.697,70.27,35.73,767,0.64,-0.42,5.26,352516.76
1,10.54,90.26,40.81,703,1.11,1.57,0.92,233073.7
1,32.928,84.38,37.53,758,0.6,-0.33,3.27,305392.82
1,23.71,72.53,37.92,675,1.08,1.53,2.23,261827.38
1,22.625,83.47,38.61,698,1.07,1.42,2.11,225693.67
0,41.177,70.68,38.96,704,0.85,0.65,4.33,328630.96
1,21.899,72.88,38.09,673,1.1,1.6,2.04,266885.67
1,14.191,69.52,36.65,715,0.62,1.09,1.27,282291.63
1,5.341,91.02,41.35,701,1.18,1.66,0.46,216268.55
1,8.785,84.09,38.11,704,0.65,1.03,0.76,240530.57
0,23.842,69.6,34.47,734,0.61,0.28,2.24,313466.58
1,21.89,69.57,37.65,699,0.89,1.17,2.04,229475.3
1,17.368,68.16,37.15,716,0.42,1.09,1.58,264099.09
0,28.531,66.71,33.96,753,0.42,0.14,2.76,338515.26
0,40.428,67.04,34.82,741,0.57,0.27,4.22,330910
1,23.271,68.76,36.48,703,0.63,1.08,2.18,249857.99
1,23.448,88.89,37.26,756,0.37,-0.35,2.2,342668.95
1,6.772,85.84,37.4,718,0.38,0.84,0.58,245657.38
0,49.137,69.25,35.76,764,0.6,-0.12,5.48,345277.12
0,65.556,69.21,35.63,764,1.1,-0.07,8.5,324987.2
1,18.472,70.21,36.31,703,1.13,1.06,1.69,262575.76
1,34.99,72.79,35.22,766,0.37,-0.38,3.52,361770.08
0,33.904,66.42,33.74,756,0.34,0.08,3.39,343668.9
1,13.588,86.14,38.05,709,0.85,0.99,1.21,251033.17
1,29.319,82.59,36.88,759,0.37,-0.18,2.85,289407.87
1,18.923,73.85,38.91,687,1.1,1.46,1.73,273307.49
0,36.593,68.27,35.43,759,0.67,0.01,3.73,331451.49
0,18.046,68.46,36.28,716,0.31,0.48,1.64,333115.84
1,7.459,83.15,37.5,714,0.34,0.73,0.64,255355.05
1,11.782,89.06,38.34,704,1.11,1.01,1.04,252535.05
