PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
0,52.589,71.34,37.09,752,0.89,0.19,6.03,335895.34
1,9.784,89.47,40.27,703,0.64,1.25,0.85,253197.1
1,16.662,82.79,37.45,721,0.67,0.66,1.51,265798.08
0,20.546,71.3,37.42,745,0.4,0.28,1.9,348252.35
1,14.021,82.14,35.73,748,0.66,0.16,1.25,262934.32
1,8.213,85.86,36.69,735,0.35,0.5,0.71,273667.92
1,17.146,82.2,36.72,731,0.83,0.44,1.56,261645.17
1,14.605,68.75,36.77,708,0.38,0.89,1.31,262701.78
1,14.588,87.32,40.58,705,0.85,1.09,1.31,261891.93
0,37.561,71.35,37.06,752,0.68,0.2,3.85,338717.03
1,16.743,69.75,37.6,694,0.89,1.23,1.52,247228.36
1,24.863,72.25,36.48,708,1.1,0.93,2.35,271527.28
1,12.52,70.18,36.68,708,0.89,0.88,1.11,266087.26
1,22.16,68.61,36.95,704,1.06,1.01,2.07,241777.27
0,34.629,71.92,36.38,759,0.59,0.14,3.48,342921.91
0,55.224,71.97,37.24,730,1.07,0.53,6.48,346860.52
1,13.595,73.14,39.15,694,0.86,1.31,1.21,276807.66
0,40.487,85.24,35.09,754,0.57,0.21,4.23,374652.63
1,11.352,82.03,35.23,755,0.36,0,1,273707.67
1,16.222,82.07,35.76,748,0.61,0.17,1.46,261533.57
1,14.816,88.85,37.64,713,0.86,0.72,1.33,269058.97
1,31.508,69.64,34.71,769,0.37,-0.17,3.1,331697.13
0,43.403,72.15,35.75,756,0.62,0.07,4.63,369601.11
1,12.373,83.45,37.81,754,0.35,0,1.09,294951.9
1,58.157,72.49,35.37,764,0.84,-0.19,7,330206.36
1,25.065,72.23,35.21,769,0.41,-0.25,2.38,339970.17
1,19.081,70.31,39.15,692,0.89,1.35,1.75,265040.92
0,31.006,71.78,36.44,757,0.35,0.16,3.05,345496.07
1,18.003,72.56,38.19,684,0.85,1.35,1.64,265885.39
1,20.578,70.34,35.79,764,0.41,-0.12,1.9,326005.4
1,20.94,68.54,36.72,722,0.62,0.74,1.94,275220.1
1,62.167,72.18,35.6,763,0.9,-0.13,7.78,331828.2
1,26.238,71.18,35.26,769,0.64,-0.23,2.5,338102.78
1,12.571,84.88,37.38,721,0.35,0.6,1.11,263341.01
1,22.453,82.25,36.88,730,0.9,0.49,2.1,261385.77
1,17.169,72.31,37.8,686,0.84,1.29,1.56,262622.03
1,9.963,89.05,38.58,706,0.62,1.11,0.87,248834.16
1,13.85,70.12,36.39,722,0.6,0.73,1.23,286131.39
1,19.332,82.87,37.19,728,0.57,0.52,1.77,275405.99
0,65.956,72.15,36.37,745,0.88,0.31,8.59,352610.55
1,5.985,90.98,40.41,703,0.68,1.14,0.51,258915.47
1,24.984,82.91,37.56,720,0.88,0.68,2.37,265857.59
1,11.236,68.58,37.03,713,0.34,0.78,0.99,272851.73
1,7.733,89.95,40.47,705,0.62,1.11,0.67,263844.99
0,35.313,72.15,35.88,754,0.6,0.13,3.56,367086.89
1,22.774,82.98,39.07,714,1.11,0.89,2.13,263430.61
1,8.86,88.62,38.3,706,0.61,1.04,0.77,248242.25
1,23.153,85.8,37.19,760,0.69,-0.18,2.17,311206.16
1,22.298,84.42,40.04,709,1.14,1.01,2.08,256789
1,29.184,82.28,37.14,728,1.07,0.52,2.83,261756.28
0,53.201,72.43,36.01,745,0.8,0.32,6.13,354377.42
1,37.374,82.39,37.51,726,1.12,0.55,3.82,261430.89
1,15.314,84.24,38.78,710,0.8,0.95,1.38,259299.08
0,62.206,72.15,36.11,748,0.84,0.24,7.79,358411.2
1,11.097,85.66,37.51,715,0.36,0.68,0.98,264223.42
1,19.125,83.2,39.47,713,1.09,0.91,1.75,262908.77
1,16.364,74.18,39.24,694,1.16,1.27,1.48,262136.22
1,22.484,83.31,39.8,713,1.15,0.91,2.1,264927.81
1,14.31,88.77,37.98,706,1.13,0.92,1.28,253209.08
1,26.198,69.26,37.8,695,1.08,1.22,2.5,254907.8
1,25.51,82.82,37.85,718,1.08,0.76,2.42,266601.08
1,10.907,84.04,38.36,711,0.58,0.89,0.96,260726.82
1,16.846,69.65,36.83,703,0.6,1.03,1.53,251836.33
1,52.087,84.68,37.3,759,0.9,-0.16,5.95,299409.78
0,51.171,72.14,35.98,751,0.66,0.18,5.8,364378.38
1,31.507,73.31,35.25,766,0.65,-0.19,3.1,345745.73
1,25.085,87.76,40.41,707,1.08,0.95,2.38,268497.93
1,28.134,82.53,36.77,759,0.4,-0.06,2.72,285984.84
1,56.589,87.96,37.7,754,0.9,-0.11,6.72,316297.61
1,47.464,88.33,37.41,753,0.84,-0.17,5.22,315808.92
1,18.233,72.03,36.87,713,0.89,0.77,1.66,290999.97
1,7.428,88.37,37.04,727,0.63,0.52,0.64,274261.38
1,12.309,89.1,37.91,706,1.1,0.93,1.09,251622.12
1,19.977,83.02,38.67,714,1.16,0.85,1.84,259766.37
1,17.743,69.07,37.47,698,0.85,1.15,1.61,254487.17
1,18.232,69.71,36.53,707,0.6,0.92,1.66,256729.81
1,16.039,70.41,37.4,697,0.66,1.15,1.45,256683.35
1,7.015,91.26,40.37,703,0.92,1.08,0.6,263357.15
1,13.822,82.02,35.24,754,0.42,0.05,1.23,273165.74
1,10.178,85.85,36.64,734,0.4,0.41,0.89,272294.72
1,24.301,68.82,38.12,700,1.13,1.15,2.29,247585.99
1,15.116,69.86,36.83,702,0.58,1.04,1.36,253835.42
1,11.374,70.59,38.49,699,0.59,1.15,1,255286.15
1,15.255,73.45,39.29,698,0.9,1.18,1.37,281160.11
1,13.747,69.27,37.06,701,0.33,1.06,1.22,249282.22
1,10.76,68.59,36.68,710,0.36,0.85,0.94,263063.14
1,8.368,85.28,37.88,712,0.35,0.78,0.73,254893.45
1,23.835,68.61,36.83,719,0.91,0.64,2.24,274794.24
1,16.47,70.13,36.9,701,0.63,1.08,1.49,253910.57
1,13.86,82.04,35.97,745,0.58,0.2,1.24,264668.01
1,10.923,70.41,38.16,699,0.41,1.15,0.96,253346.95
1,11.68,71.95,36.19,727,0.41,0.64,1.03,294389.2
1,19.686,72.12,36.54,708,1.11,0.91,1.81,268785.7
1,20.304,87.3,40.4,705,1.17,0.97,1.87,267115.24
1,13.83,73.8,39.2,698,0.88,1.2,1.23,278614.75
1,17.083,68.64,37.59,701,0.92,1.13,1.55,246393.16
1,16.472,69.95,38.89,701,0.66,1.13,1.49,267241.97
1,17.981,89.32,37.82,709,1.09,0.79,1.64,261793.96
0,22.545,72.41,34.78,762,0.32,-0.04,2.11,385869.92
1,10.059,70.61,38.17,691,0.34,1.3,0.88,259085.46
1,13.535,70.17,37.09,699,0.62,1.11,1.2,255004.72
1,39.136,72.87,35.6,765,0.61,-0.15,4.05,342779.3
1,10.985,70.09,36.43,720,0.64,0.64,0.97,289376.99
1,16.696,85.3,37.36,757,0.45,-0.03,1.51,306970.42
1,20.609,83.1,39.33,722,0.9,0.65,1.9,273552.82
1,14.367,69.28,36.66,710,0.59,0.84,1.28,264964.7
1,11.324,88.79,37.57,714,0.87,0.69,1,274575.95
1,20.488,83.01,38.87,722,0.83,0.66,1.89,268676.38
1,27.706,71.38,35.17,769,0.69,-0.19,2.67,335699.96
1,15.894,71.9,38.31,692,0.62,1.27,1.43,263840.63
1,39.626,82.26,37.72,729,1.06,0.48,4.12,264912.48
1,8.615,90.48,40.4,707,0.66,0.98,0.75,271113.54
1,16.127,72.13,38.6,693,0.59,1.28,1.45,263074.64
1,18.908,89.55,37.28,755,0.65,-0.18,1.73,331004.34
1,30.338,83.19,39.57,725,1.07,0.62,2.97,277350.33
1,10.028,85.71,37.83,712,0.33,0.79,0.88,257531.18
1,9.84,70.31,35.94,735,0.35,0.5,0.86,302314.8
1,20.473,82.82,38.21,723,0.86,0.63,1.89,266206.62
1,28.203,82.88,37.78,721,1.13,0.67,2.72,266474.73
1,15.564,82.39,36.67,733,0.42,0.41,1.4,270458.19
1,26.501,68.09,37.08,712,1.08,0.73,2.53,270144.86
1,7.274,86.27,38.21,710,0.39,0.89,0.63,259488.04
1,24.33,82.89,37.22,724,0.91,0.6,2.3,272640.48
1,16.125,73.56,34.54,768,0.42,-0.16,1.45,351286.72
1,10.839,91.37,40.32,702,1.09,1.06,0.95,264133.17
1,19.056,68.87,36.15,736,0.38,0.49,1.75,292106.97
1,11.144,70.43,37.3,702,0.38,1.08,0.98,251061.7
1,19.486,82.5,36.69,758,0.36,-0.05,1.79,284209.59
1,10.963,68.89,36.58,708,0.37,0.9,0.96,256118.18
1,9.353,86.03,37.9,711,0.38,0.83,0.82,257244.74
1,34.99,82.67,37.33,756,0.58,0.01,3.52,283673.43
1,24.373,84.19,40.07,714,1.08,0.89,2.3,269620.65
1,23.209,88.95,37.47,756,0.61,-0.12,2.18,327546.86
1,11.031,85.96,37.4,715,0.37,0.65,0.97,266817.64
1,16.774,72.28,38.96,696,0.65,1.26,1.52,266915.14
1,38.359,84.51,37.44,758,0.85,-0.11,3.95,298691.54
1,18.732,82.04,36.07,743,0.65,0.25,1.71,266745.21
1,25.64,82.01,35.52,753,0.59,0.07,2.44,273827.89
1,8.381,86,38.04,711,0.36,0.86,0.73,258589.69
1,5.466,90.93,40.42,705,0.63,0.99,0.47,272579.54
1,17.465,71.75,37.33,697,0.85,1.13,1.59,259536.74
1,15.595,72.67,37.06,699,1.15,1.1,1.4,258828.05
1,17.798,69.85,36.51,708,0.61,0.9,1.62,258181.99
1,13.228,83.34,37.79,753,0.37,0.06,1.18,292165.56
1,13.014,90.17,40.4,702,1.16,1.04,1.16,264735.87
1,20.579,70.63,39.2,703,0.85,1.11,1.9,274535.81
1,13.545,68.47,36.93,713,0.41,0.73,1.21,271959.97
1,29.409,69.41,33.8,769,0.36,-0.19,2.86,323354.14
1,12.817,89.54,37.83,709,1.1,0.8,1.14,260606.77
1,22.618,82.9,37.79,724,0.91,0.59,2.11,266025.1
1,14.23,86.74,40.22,716,0.57,0.84,1.27,276568.87
1,59.603,70.87,35.3,768,0.89,-0.17,7.28,324589.6
1,6.825,88.63,39.63,707,0.31,1.01,0.59,262683.41
1,20.151,84.43,39.47,716,0.92,0.79,1.86,272991.85
1,14.803,82.7,36.14,741,0.33,0.28,1.33,267210.4
1,6.591,88.89,39.97,708,0.37,0.99,0.57,268844.87
1,34.018,82.04,36.09,755,0.58,0.02,3.41,270154.12
1,10.653,89.54,36.5,757,0.43,-0.15,0.93,332280.92
1,19.371,84.19,39.51,712,0.88,0.91,1.78,263263.06
1,14.455,83.83,39.13,713,0.68,0.89,1.29,262345.9
1,6.874,88.39,39.27,707,0.34,0.99,0.59,262129.17
1,14.011,73.4,39.17,701,0.67,1.13,1.25,283602.87
1,19.227,86.86,39.97,718,0.93,0.73,1.76,275223
1,20.182,82.61,36.69,732,0.63,0.43,1.86,273655.34
1,14.438,72.03,37.52,701,0.62,1.1,1.29,253349
1,26.033,82.57,37.01,729,0.83,0.5,2.48,270094.98
1,20.675,68.61,36.91,708,0.91,0.9,1.91,248806.22
1,5.709,88.11,36.16,742,0.38,0.3,0.49,282304.87
1,18.302,71.95,36.77,714,0.86,0.73,1.67,291292.41
1,32.108,82.05,36.29,741,0.82,0.28,3.18,265909.4
1,23.6,84.06,39.51,725,0.83,0.62,2.22,285006.19
1,16.371,68.47,36.85,710,0.59,0.82,1.48,261156.46
1,12.817,68.79,36.66,710,0.4,0.82,1.14,267061.14
1,9.724,83.83,37.87,716,0.4,0.75,0.85,267822.06
1,9.395,88.38,36.89,729,0.61,0.47,0.82,276074.61
1,9.118,84.63,37.61,716,0.34,0.72,0.79,266640.45
1,38.558,82.04,35.9,752,0.63,0.09,3.98,270918.82
0,38.14,72.42,34.89,759,0.38,0.06,3.92,377268.77
1,12.368,69.11,36.63,708,0.58,0.94,1.09,252077.87
1,14.882,68.87,36.83,706,0.65,0.97,1.33,250248.58
1,47.507,83.65,39.25,735,1.12,0.47,5.23,279592.66
1,41.901,82.11,36.72,739,0.86,0.31,4.42,265099.38
1,12.966,72.64,39.19,702,0.63,1.12,1.15,277354.84
1,23.601,68.6,36.85,708,1.12,0.9,2.22,245432.48
1,28.243,85.38,37.22,759,0.61,-0.11,2.73,307536.63
1,9.485,68.96,36.67,708,0.41,0.9,0.83,253256.87
1,11.211,85.89,40.01,713,0.41,0.89,0.99,276248.28
1,13.912,71.7,37.18,703,0.6,1.03,1.24,255549.1
1,21.809,84.18,37.65,755,0.67,0,2.03,297421.89
1,14.59,70.2,36.02,761,0.34,0,1.31,319440.75
1,17.54,84.11,38.73,721,0.63,0.65,1.59,276447.33
1,7.676,88.09,38.09,709,0.59,0.87,0.66,261197.1
1,6.666,89.39,40.09,714,0.35,0.86,0.57,280349.23
1,25.242,70.96,39.16,708,1.09,0.98,2.4,278751.63
1,8.331,86.74,39.73,710,0.34,0.91,0.72,271284.43
1,10.821,89.37,37.93,709,0.89,0.85,0.95,259961.9
1,20.337,71.01,36.03,763,0.45,-0.03,1.88,327811.96
1,14.704,72.06,36.11,728,0.63,0.52,1.32,290316.23
1,30.158,72.67,35.58,766,0.69,-0.09,2.95,329824.17
1,5.97,90.6,39.97,718,0.38,0.76,0.51,279937.06
1,11.962,83.81,38.13,722,0.42,0.63,1.06,275414.67
1,13.885,69.57,36.55,720,0.35,0.6,1.24,286424.74
1,14.842,73.53,39.15,703,0.91,1.08,1.33,286654.51
1,13.64,84.33,38.13,717,0.58,0.73,1.21,268106.82
1,17.081,87.26,40.09,721,0.81,0.7,1.55,280673.9
0,42.059,72.53,34.14,765,0.36,0,4.45,384384.55
1,18.736,88.2,37.39,757,0.69,-0.08,1.71,313794.73
1,55.893,85.01,37.37,757,1.1,-0.06,6.59,288772.87
1,34.379,84.76,39.42,730,1.13,0.59,3.45,284805.61
1,14.135,82.5,35.45,757,0.4,-0.01,1.26,274209.86
1,43.007,82.11,36.78,743,0.82,0.24,4.58,266063.93
1,10.627,84,37.69,720,0.35,0.66,0.93,272177.35
1,23.102,70.6,39.14,708,1.17,0.98,2.17,280875.02
1,23.66,68.84,36.1,736,0.67,0.42,2.22,282806.25
1,21.18,71.73,36.62,707,1.13,0.92,1.96,261316.65
1,10.99,70.39,35.87,735,0.41,0.43,0.97,290027.56
1,45.041,82.97,38.26,747,0.84,0.21,4.87,279315.18
1,37.242,82.73,37.78,751,0.62,0.14,3.81,279824.59
1,51.391,71.86,35.92,762,1.09,0.01,5.83,307515.59
1,16.817,89.94,40.28,703,1.09,0.89,1.52,280544.77
1,18.146,68.56,36.86,710,0.82,0.79,1.65,264567.27
1,24.485,68.92,38.6,705,1.14,1,2.31,290694.48
0,54.735,72.48,35.07,755,0.55,0.11,6.39,371054.17
1,27.214,82.55,36.96,732,0.87,0.42,2.61,267873.87
1,16.919,71.94,36.64,707,1.1,0.92,1.53,258272.12
1,46.299,70.79,35.48,766,0.85,-0.11,5.05,321978.82
1,11.628,73,39.2,706,0.67,1,1.02,281964.13
1,15.305,83.62,37.62,753,0.41,0.11,1.37,290232.25
1,63.096,72.29,36.24,759,1.13,0.06,7.97,310070.89
1,21.712,70.59,39.1,718,0.93,0.76,2.02,291783.73
1,17.206,83.98,37.89,751,0.6,0.09,1.56,294562.4
1,13.337,69.62,36.71,714,0.36,0.7,1.19,288513.23
1,29.944,87.42,39.76,722,1.13,0.62,2.92,278558.12
1,21.907,82.64,36.38,737,0.66,0.35,2.04,268688.78
1,8.75,90.65,40.19,707,0.66,0.84,0.76,283294.78
1,17.166,73.63,39.24,704,1.08,1.06,1.56,285788.12
1,42.51,86.75,37.74,753,1.1,0.02,4.51,295949.23
1,35.611,71.15,35.49,766,0.6,-0.11,3.6,330228.12
1,10.449,73.38,39.18,707,0.63,1,0.92,286290.6
1,47.847,83.61,38.7,742,1.07,0.28,5.28,278373.16
1,23.089,72.15,36.68,711,1.09,0.79,2.16,279593.24
1,18.41,69.1,37.44,706,0.8,0.95,1.68,279030.31
1,61.029,71.02,35.51,766,1.09,-0.07,7.55,307852.14
1,17.546,71.86,36.71,715,0.88,0.7,1.59,295193.43
1,4.204,89.92,40.06,719,0.39,0.73,0.36,284697.5
1,15.541,88.89,37.14,722,0.84,0.53,1.4,282399.61
1,57.804,72.61,36.09,757,1.08,0.04,6.94,315511.54
1,19.55,68.5,34.57,753,0.38,0,1.8,302866.09
1,18.142,82.41,35.35,754,0.35,0.07,1.65,272991.36
1,26.174,85.22,39.76,728,1.16,0.57,2.5,280741.35
1,9.309,72.07,35.51,743,0.38,0.31,0.81,304051.85
0,57.292,72.46,35.2,752,0.59,0.18,6.84,365228.78
1,36.124,71.69,35.77,764,0.93,0,3.67,307943.17
1,12.123,86.63,39.42,729,0.35,0.6,1.07,292280.91
1,21.562,68.82,34.7,754,0.35,0.07,2,293361.67
1,20.249,69.02,35.24,748,0.43,0.2,1.87,291902.3
1,13.066,83.39,37.06,756,0.39,0.04,1.16,289365.52
1,7.418,88.06,35.92,745,0.36,0.25,0.64,283628.42
1,11.204,88.52,37.5,713,0.88,0.68,0.99,271789.98
1,12.686,70.12,37.06,708,0.39,0.89,1.12,282924.14
1,11.118,88.38,36.73,731,0.62,0.44,0.98,278771.51
1,16.209,69.02,37.1,708,0.58,0.89,1.46,277262.73
1,7.768,73.16,39.14,717,0.39,0.79,0.67,295402.39
0,28.31,72.31,33.51,767,0.32,-0.01,2.74,377604.72
1,29.023,86.17,37.6,755,0.93,0,2.82,294171.3
1,23.361,68.48,36.93,714,1.16,0.66,2.19,275491.09
1,16.984,70.39,39.01,713,0.57,0.87,1.54,308503.03
1,19.413,72.66,39.23,704,1.15,1.04,1.78,285774.86
1,13.837,73.51,34.56,767,0.37,-0.12,1.23,350258.89
1,17.901,82.5,35.82,747,0.38,0.19,1.63,273207.12
1,26.822,82.66,37.66,751,0.58,0.15,2.57,279785.36
1,32.418,68.64,36.72,721,1.12,0.57,3.21,277990.96
1,17.385,84.09,38.83,729,0.65,0.52,1.58,285822.22
1,28.592,68.58,36.37,730,0.82,0.48,2.77,275502.45
0,43.06,72.51,34.27,764,0.39,0.07,4.58,380098.29
1,18.548,82.44,37.51,736,0.6,0.38,1.7,271723.92
1,12.957,69.3,36.68,711,0.35,0.78,1.15,274524.16
1,56.406,87.78,37.79,750,1.13,0.08,6.68,299589.18
1,42.509,83.06,38.62,741,0.87,0.32,4.51,279737.31
1,22.174,68.81,36.93,710,1.15,0.82,2.07,265105.27
1,16.519,82.65,38.05,736,0.58,0.4,1.49,275697.85
1,12.136,90.78,40.13,707,0.83,0.82,1.07,284156.48
1,11.543,71.63,38.36,705,0.31,1,1.02,297017.34
1,10.33,88.85,37.53,713,0.85,0.7,0.9,271521.05
1,30.26,82.87,38.65,738,0.82,0.38,2.96,279812.95
1,11.669,69.91,36.87,709,0.35,0.85,1.03,281642.51
1,7.04,88.71,38.68,710,0.37,0.86,0.61,267849.77
1,13.679,69.85,36.72,710,0.38,0.82,1.22,278581.28
1,10.438,71.8,38.68,707,0.36,0.98,0.91,302679.69
1,31.303,71.03,39,722,1.13,0.66,3.08,294807.42
1,20.681,82.76,38.42,737,0.65,0.4,1.91,278045.09
1,26.207,84.23,38.92,738,0.88,0.39,2.5,287501.82
1,24.412,69.5,33.32,769,0.37,-0.14,2.31,316318.81
1,10.326,71.46,38.01,705,0.34,0.99,0.9,293444.4
1,12.937,69.58,36.69,711,0.33,0.78,1.15,275837.54
1,8.207,88.34,38.25,711,0.36,0.8,0.71,268524.82
1,16.646,68.96,36.65,721,0.34,0.57,1.51,284629.24
1,19.929,83.82,38.11,748,0.62,0.17,1.84,293026.55
1,16.807,72.3,36.69,711,1.1,0.8,1.52,280059.5
1,16.231,72.09,36.07,730,0.61,0.48,1.47,289492.56
1,15.717,82.59,37.39,751,0.41,0.16,1.41,278528.53
1,15.509,69.82,36.7,715,0.37,0.67,1.39,292017.18
1,21.998,82.37,36.12,742,0.58,0.27,2.05,270152.84
1,13.526,89.54,40.09,708,0.9,0.78,1.2,283489.18
1,17.456,85.42,37.74,752,0.4,0.1,1.59,300912.37
1,20.193,70.82,39.03,718,0.8,0.74,1.86,309590.14
1,12.96,82.34,36.5,751,0.37,0.15,1.15,275123.89
1,11.846,82.5,37,751,0.34,0.17,1.05,277752.89
1,25.913,84.78,38.71,743,0.91,0.33,2.47,289417.95
1,13.044,89.09,37.12,721,0.85,0.55,1.16,283271.75
1,18.564,82.58,36.97,737,0.65,0.35,1.7,269464.73
1,8.84,72.17,38.9,712,0.35,0.88,0.77,308273.33
1,8.517,89.36,36.63,756,0.37,-0.11,0.74,334517.29
1,16.819,82.63,35.46,751,0.43,0.14,1.52,274871.47
1,33.268,85.88,37.22,759,0.91,-0.05,3.31,299838.31
1,50.061,88.43,37.77,749,1.08,0.04,5.62,305559.01
1,6.099,90.43,40.18,711,0.36,0.83,0.52,281792.03
1,23.058,68.72,38.66,710,1.16,0.91,2.16,287524.22
1,27.225,70.56,36.06,761,0.67,0.02,2.61,318052.55
1,10.889,87.99,37.01,760,0.36,-0.06,0.96,307451.57
1,26.572,84.94,39.4,734,1.11,0.48,2.54,282247.47
1,21.709,85.95,37.45,757,0.86,0.01,2.02,293607.45
1,37.219,73.45,36,760,0.89,0.03,3.8,330816.81
1,25.726,68.58,36.94,714,1.11,0.67,2.45,276869.86
1,32.402,71.61,35.63,765,0.86,0,3.21,308958.85
1,15.521,70.25,36.12,760,0.36,0.06,1.4,315088.04
1,23.297,73.65,35.71,762,0.68,0.05,2.19,334742.13
1,15.448,72.71,35.31,768,0.36,-0.07,1.39,323658.95
1,21.561,68.85,38.36,709,1.09,0.91,2,284031.72
1,12.793,83.98,37.26,730,0.32,0.46,1.13,278733.12
1,13.012,71.34,37.01,708,0.59,0.87,1.15,284533.51
1,13.588,82.53,36.1,752,0.42,0.12,1.21,272192.88
1,27.194,68.94,38.83,712,1.08,0.89,2.61,300565.64
1,32.636,69.01,38.53,722,1.07,0.63,3.24,290867.54
1,21.119,68.99,38.2,709,0.88,0.91,1.96,296122.42
1,21.861,82.48,36.09,747,0.63,0.2,2.03,271622.47
1,12.99,72.23,36.82,710,0.89,0.84,1.15,282861.25
1,21.099,69.05,38.25,714,0.92,0.79,1.96,293527.5
1,9.823,70.36,38.5,710,0.34,0.91,0.86,305701.18
1,22.54,68.96,38.03,709,1.11,0.89,2.11,281619.39
1,23.229,72.6,39.42,710,1.1,0.9,2.18,297546.52
1,16.429,68.92,37.87,709,0.68,0.89,1.48,294421.42
1,12.255,69.86,38.82,712,0.41,0.89,1.08,308029.51
1,20.763,68.7,36.93,713,1.08,0.67,1.92,276703.1
1,19.985,84.02,38.3,745,0.66,0.25,1.84,291850.59
1,6.279,90.57,39.64,724,0.42,0.58,0.54,286269.82
1,24.441,68.93,38.3,719,0.9,0.65,2.31,288962.13
1,16.356,87,39.09,737,0.58,0.44,1.48,296311.94
1,22.188,83.7,38.17,746,0.64,0.25,2.07,290060.69
1,23.006,68.94,37.57,710,1.16,0.84,2.16,282307
1,22.407,68.82,36.92,712,1.15,0.71,2.09,275687.31
1,8.145,72.58,39.03,717,0.39,0.77,0.71,311970.19
1,42.054,71.52,35.42,767,0.9,-0.05,4.45,319203.2
1,25.151,84.55,38.4,747,0.87,0.26,2.39,289866.12
1,14.648,83.42,37.54,751,0.33,0.16,1.31,286706.5
1,18.928,68.72,36.87,714,0.67,0.67,1.73,283243.18
1,12.253,73.25,39.2,713,0.66,0.86,1.08,293697.39
1,41.555,72.97,36.02,762,0.84,0.05,4.38,319935.68
1,35.975,69.6,33.68,768,0.4,-0.13,3.65,314986.2
1,10.319,72.2,35.32,747,0.36,0.26,0.9,303996.8
1,8.339,87.76,37.45,718,0.35,0.63,0.72,280385.74
1,45.134,69.41,38.28,731,1.12,0.53,4.88,293179.19
1,27.739,69.34,38.45,723,0.83,0.63,2.67,298378.34
1,20.486,68.95,37.91,718,0.83,0.65,1.89,287295.91
1,19.533,83.69,38.58,739,0.57,0.38,1.79,287314.32
1,33.349,69.5,38.4,726,1.13,0.65,3.32,299944.56
1,19.647,69.1,36.57,723,0.57,0.54,1.81,288629.62
1,9.751,69.32,36.76,714,0.34,0.71,0.85,292592.73
1,26.048,68.94,35.44,748,0.57,0.24,2.48,289554.37
1,8.998,88.91,37.24,719,0.65,0.6,0.78,282947.71
1,22.167,68.82,36.84,714,0.88,0.66,2.07,283505.83
1,9.527,73.29,39.05,725,0.42,0.61,0.83,301579.94
1,14.791,70.57,38.35,727,0.35,0.65,1.33,307524.8
1,6.43,88.12,35.68,748,0.38,0.2,0.55,285622.27
1,21.806,86.12,37.6,756,0.68,0.06,2.03,298144.99
1,21.366,69.27,37.85,718,0.63,0.65,1.98,293578.22
1,34.533,69.9,34.87,767,0.4,-0.05,3.47,318982.46
1,20.921,72.16,36.49,724,0.84,0.54,1.94,300626.94
1,16.417,69.33,37.21,715,0.58,0.72,1.48,295031.06
1,23.277,89.54,37.59,752,0.89,0.03,2.18,320338.73
1,27.612,68.94,37.01,712,1.08,0.74,2.66,282246.13
1,12.962,69.02,36.9,712,0.41,0.74,1.15,293474.12
1,19.145,89.17,39.99,718,1.17,0.65,1.76,286893.99
1,17.743,69.28,34.14,760,0.43,-0.02,1.61,297928.05
0,41.352,72.55,34.92,756,0.57,0.18,4.35,368397.97
1,24.834,89.69,38.93,727,1.16,0.55,2.35,299207.03
1,29.033,69.68,38.66,725,1.16,0.66,2.82,304162.71
1,24.761,85.9,37.38,757,0.89,0.02,2.34,294114.46
1,21.178,84.75,38.05,751,0.85,0.18,1.96,290477.3
1,34.228,72.67,35.61,766,0.66,-0.01,3.43,317058.95
1,15.525,86.57,39.34,735,0.68,0.48,1.4,291379.9
1,10.956,86.27,38.47,744,0.33,0.29,0.96,294736.48
1,25.316,69,37.49,719,0.86,0.63,2.4,288300.6
1,14.457,73.36,39.27,714,0.83,0.83,1.29,293367.81
1,13.852,72.02,36.12,732,0.62,0.45,1.23,294332.24
1,31.701,71.61,35.56,765,0.88,0.01,3.13,310440.06
1,8.638,90.68,39.6,724,0.59,0.55,0.75,287518.91
1,14.564,83.74,37.96,736,0.38,0.4,1.3,284513.07
1,15.269,89.61,39.87,718,0.85,0.65,1.37,285135.23
1,28.851,88.62,37.61,753,0.84,0.06,2.8,308555.29
1,32.251,73.03,37.77,732,1.17,0.6,3.19,306318.44
1,12.322,73.65,34.9,764,0.33,-0.03,1.09,346991.06
1,23.086,85.25,39.07,739,1.08,0.37,2.16,284122.61
1,15.797,69.23,37.39,719,0.42,0.63,1.42,295730.2
1,11.045,71.77,37.65,710,0.37,0.86,0.97,302672.41
1,28.895,73.53,36.53,754,0.91,0.2,2.8,323695.16
1,20.157,70.31,36.51,756,0.59,0.13,1.86,314760.5
1,15.272,69.34,36.86,718,0.35,0.65,1.37,296570.61
1,24.832,87.82,37.34,757,0.66,0,2.35,303326
1,45.713,72.99,36.74,754,1.14,0.18,4.96,314715.53
1,16.338,72.48,39.32,714,0.9,0.79,1.48,294866.4
1,10.261,71.57,37.35,712,0.36,0.8,0.9,302332.16
1,13.724,89.87,37.5,753,0.68,0.06,1.22,323633.17
1,31.081,69.12,36.93,717,1.13,0.65,3.05,287053.26
1,37.833,69.98,35.47,764,0.57,0.02,3.88,310843.95
1,19.825,73.47,35.76,761,0.63,0.09,1.82,330701.52
1,17.085,71.67,36.75,715,0.89,0.68,1.55,297280.98
1,11.636,73.49,39.06,727,0.59,0.57,1.03,301800.37
1,11.376,88.56,36.07,741,0.6,0.29,1,282059.19
1,14.978,71.9,36.74,714,0.85,0.69,1.34,297037.31
1,9.53,73.06,39.19,713,0.36,0.86,0.83,293803.42
1,25.947,84.88,37.83,753,0.92,0.12,2.47,289689.21
1,27.043,70.21,37.64,741,0.91,0.39,2.59,304045.38
